image_id,round,psnr,ssim,mse,label,inferred_label,seed
0,0,84.47187288955826,0.9999999179503304,3.5711879790151224e-09,0,0,
10,0,86.99525895860953,0.9999999577327524,1.9974416625920255e-09,1,1,
50,0,84.88154144746575,0.9999999606766515,3.249719341714974e-09,5,5,
90,0,83.62938872738825,0.9999999637480965,4.335718996502369e-09,9,9,
130,0,73.1354933594326,0.9999997964658608,4.8579234169197905e-08,13,13,
200,0,84.70856642799703,0.9999999714351249,3.381764471753479e-09,20,20,
310,0,84.84963054088615,0.9999999359515157,3.2736854329792897e-09,31,31,
399,0,87.5466094927608,0.9999999784902804,1.7592965487200907e-09,39,39,
5,1,60.315624530720314,0.9998440862916749,9.299027818520864e-07,0,0,0.0
40,1,60.82078332966816,0.9999872987580193,8.277928426406178e-07,4,4,0.0
90,1,57.84313617039092,0.9999072603707169,1.6431847018388498e-06,9,9,0.0
130,1,63.57032057045143,0.9999855344819478,4.3950917227777303e-07,13,13,0.0
200,1,62.0450748352172,0.9999729681744568,6.244425901393014e-07,20,20,0.0
250,1,61.97471213519232,0.9999810003786137,6.346419657646263e-07,25,25,0.0
310,1,60.42533354238942,0.9999519784906441,9.06706325981381e-07,31,31,0.0
399,1,63.4425966312826,0.9999941111139707,4.5262687498395793e-07,39,39,0.0
5,1,61.708661090050484,0.999863201656107,6.747360136510547e-07,0,0,1.0
40,1,59.99595237557686,0.9999616165806514,1.0009324344128004e-06,4,4,1.0
90,1,62.5532390545048,0.9999909929618686,5.554898074057457e-07,9,9,1.0
130,1,55.698729235723256,0.9999482106948501,2.692322473784106e-06,13,13,1.0
200,1,64.81632030125469,0.9999863766057469,3.2988910288102996e-07,20,20,1.0
250,1,54.50981482166248,0.9999572909582471,3.5401243545819805e-06,25,25,1.0
310,1,60.2758468605763,0.9999694824238109,9.384590222722561e-07,31,31,1.0
399,1,61.530107180779865,0.9999847664772425,7.030549687746593e-07,39,39,1.0
5,1,50.31522354498449,0.9999071551925837,9.299886440910198e-06,0,0,2.0
40,1,58.63837962185486,0.999961631820591,1.3682392284415992e-06,4,4,2.0
90,1,58.951334517712645,0.999992990856826,1.2731118139387362e-06,9,9,2.0
130,1,56.871517296830405,0.9999866927793393,2.055172453901792e-06,13,13,2.0
200,1,55.55983385921657,0.9999451900587394,2.779819608639267e-06,20,20,2.0
250,1,55.57446133803659,0.9999669641536858,2.770472643734076e-06,25,25,2.0
310,1,64.04414913340196,0.9999890515245099,3.9408062807270994e-07,31,31,2.0
399,1,57.23002207856895,0.9999716601019898,1.8923339984138615e-06,39,39,2.0
5,2,36.774689916946514,0.9615061232256346,0.00021015078097962655,0,0,0.0
40,2,37.54051892182168,0.9946277548426337,0.00017617655272281554,4,4,0.0
90,2,4.900038198139204,-0.004661639701316405,0.32359081079141805,9,9,0.0
130,2,37.74839682453464,0.9961549924460904,0.00016794238542815892,13,13,0.0
200,2,37.537707056432666,0.9939105147250197,0.00017629065621160497,20,20,0.0
250,2,40.68877442981055,0.9973644964266388,8.533408911053954e-05,25,25,0.0
310,2,39.56820573844741,0.9940763740039156,0.0001104534857588246,31,31,0.0
399,2,37.32119045055198,0.9952985438369072,0.0001853023618951198,39,39,0.0
5,2,17.02089601495445,0.4455687992082939,0.019856851983170557,0,0,1.0
40,2,19.55380230274838,0.7193328565751802,0.011082041437569082,4,4,1.0
